City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,city_wind,Current Description
134,Gamba,GA,2022-06-08 19:31:36,-2.65,10.0,73.4,90,75,3.22,broken clouds
135,Seddon,AU,2022-06-08 19:31:37,-37.8068,144.8916,50.99,85,75,13.8,broken clouds
136,Ponta Do Sol,PT,2022-06-08 19:31:37,32.6667,-17.1,73.71,83,1,4.94,clear sky
137,Kulhudhuffushi,MV,2022-06-08 19:31:37,6.6221,73.07,82.47,72,87,12.91,overcast clouds
138,Kokopo,PG,2022-06-08 19:31:38,-4.352,152.2633,76.03,83,96,3.2,overcast clouds
139,Conceicao Do Araguaia,BR,2022-06-08 19:31:38,-8.2578,-49.2647,87.78,46,19,3.65,few clouds
140,Pacific Grove,US,2022-06-08 19:31:40,36.6177,-121.9166,76.24,71,0,8.05,clear sky
141,Nome,US,2022-06-08 19:31:41,64.5011,-165.4064,66.16,65,0,4.61,clear sky
142,Bondo,CD,2022-06-08 19:31:41,3.8146,23.6866,66.78,99,100,0.54,overcast clouds
143,Chai Nat,TH,2022-06-08 19:31:42,15.1167,100.1,81.05,82,100,7.18,overcast clouds
144,Henderson,US,2022-06-08 19:31:42,36.0397,-114.9819,104.02,14,0,13.8,clear sky
145,Pittsfield,US,2022-06-08 19:30:38,42.4501,-73.2454,75.99,54,0,13.8,clear sky
146,Constantine,DZ,2022-06-08 19:30:53,36.365,6.6147,80.01,36,75,9.22,broken clouds
147,Hirara,JP,2022-06-08 19:31:44,24.8,125.2833,78.46,82,100,1.74,overcast clouds
148,Jovellar,PH,2022-06-08 19:31:45,13.0695,123.5999,77.29,91,100,2.59,overcast clouds
149,Kashi,CN,2022-06-08 19:31:47,39.4547,75.9797,72.61,46,75,11.18,broken clouds
150,Castelnau-Le-Lez,FR,2022-06-08 19:31:47,43.6333,3.9,75.76,53,0,12.66,clear sky
151,Magole,TZ,2022-06-08 19:31:48,-6.3667,37.3667,67.23,66,24,2.91,few clouds
152,Zyryanskoye,RU,2022-06-08 19:31:49,56.8306,86.6258,39.7,83,0,0.18,clear sky
153,Port Blair,IN,2022-06-08 19:31:49,11.6667,92.75,81.77,79,100,13.82,overcast clouds
154,Dali,CN,2022-06-08 19:31:49,25.7,100.1833,62.35,94,100,2.71,overcast clouds
155,Huarmey,PE,2022-06-08 19:31:50,-10.0681,-78.1522,68.83,77,93,11.05,overcast clouds
156,Madang,PG,2022-06-08 19:31:50,-5.2246,145.7966,75.25,91,99,3.62,overcast clouds
157,Sao Jose Da Coroa Grande,BR,2022-06-08 19:31:52,-8.8978,-35.1478,77.7,80,39,6.76,scattered clouds
158,Raudeberg,NO,2022-06-08 19:31:52,61.9875,5.1352,54.27,85,23,20.62,few clouds
159,Saldanha,ZA,2022-06-08 19:31:53,-33.0117,17.9442,59.05,89,70,8.55,broken clouds
160,Brownwood,US,2022-06-08 19:31:53,31.7093,-98.9912,87.12,48,0,14.97,clear sky
161,Avarua,CK,2022-06-08 19:31:56,-21.2078,-159.775,77.05,73,20,3.44,few clouds
162,Khatanga,RU,2022-06-08 19:31:57,71.9667,102.5,43.16,80,100,10.33,light rain
163,Urubicha,BO,2022-06-08 19:31:57,-15.3833,-62.95,75.11,90,53,1.83,broken clouds
164,Mount Isa,AU,2022-06-08 19:31:06,-20.7333,139.5,47.97,61,6,6.91,clear sky
165,Maridi,SS,2022-06-08 19:31:59,4.9158,29.4742,66.07,97,98,3.67,overcast clouds
166,Sibolga,ID,2022-06-08 19:31:59,1.7427,98.7792,75.34,91,79,3.38,broken clouds
167,Mangotsfield,GB,2022-06-08 19:32:00,51.4878,-2.504,61.34,77,40,20.71,scattered clouds
168,Port Keats,AU,2022-06-08 19:32:01,-14.25,129.55,72.23,47,100,13.56,overcast clouds
169,Coihaique,CL,2022-06-08 19:28:02,-45.5752,-72.0662,43.41,61,75,3.44,broken clouds
170,Puerto Ayora,EC,2022-06-08 19:32:04,-0.7393,-90.3518,76.96,86,48,5.01,scattered clouds
171,Rio Gallegos,AR,2022-06-08 19:31:36,-51.6226,-69.2181,37.45,93,75,26.46,moderate rain
172,Luderitz,NA,2022-06-08 19:32:05,-26.6481,15.1594,62.47,52,0,7.25,clear sky
173,Ondjiva,AO,2022-06-08 19:32:05,-17.0667,15.7333,56.52,45,1,7.02,clear sky
174,Yulara,AU,2022-06-08 19:32:06,-25.2406,130.9889,45.19,72,8,8.95,clear sky
175,Jaciara,BR,2022-06-08 19:32:07,-15.9653,-54.9683,82.17,54,86,3.71,overcast clouds
176,Namtsy,RU,2022-06-08 19:32:07,62.7161,129.6658,62.42,69,31,3.6,scattered clouds
177,Mugur-Aksy,RU,2022-06-08 19:32:08,50.35,90.5,41.32,69,4,6.24,clear sky
178,Mahebourg,MU,2022-06-08 19:32:09,-20.4081,57.7,73.69,78,40,3.44,scattered clouds
179,Constitucion,CL,2022-06-08 19:32:09,-35.3333,-72.4167,56.75,75,5,8.77,clear sky
180,Shelburne,CA,2022-06-08 19:32:10,44.0787,-80.2041,69.91,56,100,1.57,overcast clouds
181,Mackay,AU,2022-06-08 19:30:19,-21.15,149.2,48.69,64,3,15.39,clear sky
182,Sao Filipe,CV,2022-06-08 19:32:11,14.8961,-24.4956,74.03,83,1,9.66,clear sky
183,Kavieng,PG,2022-06-08 19:32:13,-2.5744,150.7967,80.89,65,5,8.97,clear sky
184,Vardo,NO,2022-06-08 19:32:14,70.3705,31.1107,46.38,81,0,0.0,clear sky
185,Pailon,BO,2022-06-08 19:32:14,-17.65,-62.75,82.08,54,60,7.49,broken clouds
186,Noumea,NC,2022-06-08 19:32:16,-22.2763,166.4572,75.0,99,100,7.78,overcast clouds
187,Pacifica,US,2022-06-08 19:27:39,37.6138,-122.4869,81.68,78,40,23.02,scattered clouds
188,Rocha,UY,2022-06-08 19:32:18,-34.4833,-54.3333,56.89,84,7,4.92,clear sky
189,Mafinga,TZ,2022-06-08 19:32:19,-7.25,35.0667,65.88,58,34,7.31,scattered clouds
190,Namatanai,PG,2022-06-08 19:32:20,-3.6667,152.4333,78.15,74,40,4.38,scattered clouds
191,Kenai,US,2022-06-08 19:32:21,60.5544,-151.2583,60.03,69,100,4.61,overcast clouds
192,Urucui,BR,2022-06-08 19:32:21,-7.2294,-44.5561,89.89,40,53,1.7,broken clouds
193,Ilulissat,GL,2022-06-08 19:32:22,69.2167,-51.1,42.82,56,75,6.91,broken clouds
194,Namibe,AO,2022-06-08 19:32:23,-15.1961,12.1522,72.66,58,69,4.54,broken clouds
195,Payakumbuh,ID,2022-06-08 19:32:23,-0.2202,100.6308,68.4,98,98,2.39,overcast clouds
196,Bouna,CI,2022-06-08 19:32:24,9.2667,-3.0,79.95,59,7,3.13,clear sky
197,Alice Springs,AU,2022-06-08 19:31:27,-23.7,133.8833,35.15,100,1,0.0,clear sky
198,Eyl,SO,2022-06-08 19:32:26,7.9803,49.8164,85.21,56,51,21.43,broken clouds
199,Bethel,US,2022-06-08 19:29:41,41.3712,-73.414,83.01,44,0,8.05,clear sky
200,Stornoway,GB,2022-06-08 19:32:30,58.2093,-6.3865,56.93,87,20,10.36,few clouds
201,Narsaq,GL,2022-06-08 19:32:31,60.9167,-46.05,61.02,64,100,6.38,overcast clouds
202,Valdepenas,ES,2022-06-08 19:32:32,38.7621,-3.3848,81.37,41,100,11.21,overcast clouds
203,Torbay,CA,2022-06-08 19:27:57,47.6666,-52.7314,56.28,66,20,11.5,few clouds
204,Abha,SA,2022-06-08 19:32:33,18.2164,42.5053,71.42,49,0,0.0,clear sky
205,Kijang,KR,2022-06-08 19:32:34,35.2442,129.2139,58.73,84,78,7.4,broken clouds
206,Havre-Saint-Pierre,CA,2022-06-08 19:32:35,50.2334,-63.5986,59.36,36,100,13.8,overcast clouds
207,Haines Junction,CA,2022-06-08 19:32:36,60.7522,-137.5108,62.55,36,100,4.61,overcast clouds
208,Henties Bay,NA,2022-06-08 19:32:37,-22.116,14.2845,65.93,53,0,10.33,clear sky
209,Monywa,MM,2022-06-08 19:32:39,22.1167,95.1333,82.09,71,100,11.68,overcast clouds
210,Vyartsilya,RU,2022-06-08 19:32:39,62.1764,30.693,52.88,94,100,5.77,overcast clouds
211,Nikolskoye,RU,2022-06-08 19:32:40,59.7035,30.7861,60.69,98,100,6.02,overcast clouds
212,Dunedin,NZ,2022-06-08 19:30:33,-45.8742,170.5036,44.06,82,57,5.21,broken clouds
213,Sri Aman,MY,2022-06-08 19:32:42,1.2376,111.4621,77.09,94,100,0.0,overcast clouds
214,Isangel,VU,2022-06-08 19:32:43,-19.55,169.2667,76.95,71,100,7.56,overcast clouds
215,Saint George,US,2022-06-08 19:27:57,37.1041,-113.5841,102.63,15,0,4.61,clear sky
216,Chirongui,YT,2022-06-08 19:32:43,-12.9319,45.1483,76.93,66,0,8.63,clear sky
217,Veraval,IN,2022-06-08 19:32:44,20.9,70.3667,83.93,85,24,12.82,few clouds
218,College,US,2022-06-08 19:32:44,64.8569,-147.8028,61.59,41,40,16.11,scattered clouds
219,Tura,IN,2022-06-08 19:32:45,25.5198,90.2201,74.16,97,100,5.44,overcast clouds
220,Omboue,GA,2022-06-08 19:32:45,-1.5746,9.2618,74.68,88,72,3.33,broken clouds
221,Acarau,BR,2022-06-08 19:32:46,-2.8856,-40.12,79.29,80,38,11.88,scattered clouds
222,Valparaiso,CL,2022-06-08 19:31:40,-33.0393,-71.6273,62.83,83,75,6.91,broken clouds
223,Yar-Sale,RU,2022-06-08 19:32:46,66.8333,70.8333,47.79,54,2,7.25,clear sky
224,Broken Hill,AU,2022-06-08 19:32:47,-31.95,141.4333,43.92,71,4,7.11,clear sky
225,Pangnirtung,CA,2022-06-08 19:32:47,66.1451,-65.7125,44.6,70,40,20.71,scattered clouds
226,Nakasongola,UG,2022-06-08 19:32:48,1.3089,32.4564,65.97,82,100,3.06,overcast clouds
227,Westerland,DE,2022-06-08 19:32:49,54.9079,8.3033,62.02,94,100,4.61,moderate rain
228,Bonavista,CA,2022-06-08 19:32:49,48.6499,-53.1147,42.51,68,1,10.16,clear sky
229,Songea,TZ,2022-06-08 19:32:50,-10.6833,35.65,61.95,77,40,0.0,scattered clouds
230,Koutsouras,GR,2022-06-08 19:32:50,35.0339,25.9469,77.11,59,0,0.72,clear sky
